1
7,1,7,8,1,8,1,10,1,10,7,1,7,8,1,8,1,10,1,10
7,8,7,8,8,8,10,10,10,10,7,8,7,8,8,8,10,10,10,10
7,9,7,9,3,12,1,1,3,12,7,9,7,9,3,12,1,1,3,12
7,9,7,9,10,10,10,10,10,10,7,9,7,9,10,10,10,10,10,10
7,1,5,1,1,1,1,1,1,1,7,1,5,1,1,1,1,1,1,1
6,1,7,1,1,1,1,1,1,1,6,1,7,1,1,1,1,1,1,1
7,1,7,1,1,1,1,1,1,1,6,1,5,1,1,1,1,1,1,1
7,2,7,2,2,2,2,2,2,2,7,2,7,2,2,2,2,2,2,2
7,9,7,9,9,9,9,9,9,9,7,11,7,11,11,11,11,11,11,11
7,4,7,4,4,4,4,4,4,4,7,4,7,4,4,4,4,4,4,4
7,13,7,13,13,13,13,13,13,13,7,13,7,13,13,13,13,13,13,13
7,3,7,3,3,3,3,3,3,3,7,3,7,3,3,3,3,3,3,3
7,13,7,13,13,13,13,13,13,13,7,12,7,12,12,12,12,12,12,12
